ProductName,Brand,Price,Link
Shanklish Cheese-250 G,Tamimi , 8.49,https://shop.tamimimarkets.com/product/shanklish-cheese
Egyptian Mesh-250 G,Tamimi , 8.49,https://shop.tamimimarkets.com/product/egyptian-mesh
Makdous Walnuts In Olive Oil-550 G,Tamimi , 35.65,https://shop.tamimimarkets.com/product/makdous-walnuts-in-olive-oil
Cornichon Pickles-550 G,Tamimi , 19.95,https://shop.tamimimarkets.com/product/cornichon-pickles-1
Jordanian Green Olive-450 G,Tamimi , 27.95,https://shop.tamimimarkets.com/product/jordanian-green-olive-2
Hot Chili Paste In Olive Oil-550 G,Tamimi , 21.95,https://shop.tamimimarkets.com/product/hot-chili-paste-in-olive-oil
Mamoul With Dates Anise-500 G,Tamimi , 20.00,https://shop.tamimimarkets.com/product/mamoul-with-dates-anise
Cake With Dates Mamoul-500 G,Tamimi , 20.00,https://shop.tamimimarkets.com/product/cake-with-dates-mamoul
Cake With Dates Anaise-500 G,Tamimi , 20.00,https://shop.tamimimarkets.com/product/cake-with-dates-anaise
Stick Borek Cheese-Pack,Tamimi , 10.99,https://shop.tamimimarkets.com/product/stick-borek-cheese
Stick Borek Spinach Cheese-Pack,Tamimi , 10.99,https://shop.tamimimarkets.com/product/stick-borek-spinach-cheese
Mini Stick Borek Potato Vegan-Pack,Tamimi , 7.99,https://shop.tamimimarkets.com/product/mini-stick-borek-potato-vegan
Mini Stick Borek Mizithra Cheese-Pack,Tamimi , 7.99,https://shop.tamimimarkets.com/product/mini-stick-borek-mizithra-cheese
Mini Stick Spinach Mizithra Cheese-Pack,Tamimi , 7.99,https://shop.tamimimarkets.com/product/mini-stick-spinach-mizithra-cheese
Baguette White 58Cm-280 G,Tamimi , 4.50,https://shop.tamimimarkets.com/product/baguette-white-58cm
Choco Kunafa  Pastry With Pistachio-Each,Tamimi , 8.99,https://shop.tamimimarkets.com/product/choco-kunafa-pastry-with-pistachio
Choco Slice Cake Kunafa & Pistachio-Each,Tamimi , 6.99,https://shop.tamimimarkets.com/product/choco-slice-cake-kunafa-pistachio
